id,text,,Date,label,Comments
533350,Technology Brief -- Verizon Communications Inc.: MCI Will Receive $169 Million In Settlement of Long Dispute,757301,2003/12/30,Y,
533351,Google Hid Data Breach for Months,228204,2018/10/9,Y,
533352,Deals &amp; Deal Makers: Agency Considers Suing Morgan Stanley For Discrimination Based on Gender,578275,2001/9/7,Y,
533353,Executives on Trial: Rite Aid Fraud Case Involving Brown Goes To the Jury Today,625255,2003/10/15,Y,
533354,Antitrust Suit Targeting MasterCard and Visa Puts the Pair at Odds,614620,2000/6/12,Y,
533355,Delay Pondered In Microsoft Antitrust Trial,387132,1998/8/14,Y,
533356,"Three Banks Put Kibosh On Target Pact --- Citigroup, Capital One, J.P. Morgan thought $19 million MasterCard deal on breach was too small",127097,2015/6/3,Y,
533357,Fraud Charged Against Former Dynegy Employees,600332,2003/6/13,Y,
533358,Rite Aid's Ex-CEO Sentenced To 8 Years for Accounting Fraud,617350,2004/5/28,Y,
533359,Biotechnology Brief -- Monsanto Co.: Canada Court Rules Farmer Violated Gene-Crop Patents,579493,2004/5/24,Y,
533360,Corporate News: Kinder-El Paso Merger To Face Antitrust Scrutiny,906122,2011/10/19,Y,
533361,"Boom Town: Behind the Blustering Over the Microsoft Settlement --- Some Say Giant Got Off Easy, And That School Giveaway Just Aids Marketing Goals",588438,2001/12/3,Y,
533362,"For Antitrust Judge, Trust, or Lack of It, Really Was the Issue --- In an Interview, Jackson Says Microsoft Did the Damage To Its Credibility in Court",415798,2000/6/8,Y,
533363,Options Report: Softness in Microsoft Shares Rattles Traders Who Bet Antitrust Ruling Would Spur Rally,462155,2000/6/9,Y,
533364,General Electric Co.: NBC Sees Breach of Contract In Paxson's All-Infomercial Plan,635868,2005/4/22,Y,
533365,Altria to Split Into 2 or 3 Entities When Litigation Climate Clears,682766,2004/11/5,Y,
533366,Ohio Is Right to Seek Fraud Redress From Fannie Mae,890267,2011/6/6,Y,
533367,A Global Journal Report: Nestle Says a Takeover of Hershey Wouldn't Pass Antitrust Muster,609188,2002/8/30,Y,
533368,Management: Rewarding Client Service Over Sales --- Companies rethink performance incentives in wake of Wells Fargo fake-account scandal,184197,2016/11/9,Y,
533369,Leading the News: IBM Pension Changes Are Ruled Discriminatory; Finding Is Viewed as Boon To Older Workers in U.S.; Big Blue Sees Little Impact,551267,2003/8/1,Y,
533370,"WSJ.D Technology: EU: No Bias in New Web Rules --- Digital chief seeks to dispel U.S. concerns that Google, Facebook will face discrimination",136872,2015/9/21,,
533371,"Corporate News: Delta Air Lines, Northwest Complete Merger; Milestone Follows Antitrust Regulators' Approval of Plan to Create World's Largest Carrier in $2.6 Billion All-Stock Deal",756759,2008/10/30,,
533372,More Firings at BofA Amid Misconduct Claim,227745,2018/3/1,Y,
533373,Merisel Settles Note Litigation,403450,1999/5/14,Y,
533374,"Corporate News: Judge Blasts IBM, SEC Antibribery Settlement",45504,2012/12/21,Y,
533375,Novartis Loses Lawsuit Against Monsanto Co. Over Genetics Patent,421448,1998/11/10,Y,
533376,Business News: Tesla Accuses Former Employee of 'Sabotage',228715,2018/6/21,Y,
533377,Leading the News: Rite Aid's Ex-Ceo Pleads Guilty --- Grass Is First Executive Held Criminally Liable In Major Accounting Fraud,586593,2003/6/18,Y,
533378,Apple's Lawsuit Sent a Message to Google,55637,2012/8/27,Y,
533379,Google Antitrust Fight Pressures Apple Unit,277757,2020/10/26,Y,
533380,Blackstone's Leaky Property Fund Pays for a Thumbs-Up,356913,2023/1/5,Y,
533381,Leading the News -- Visionary or Quibbler: Which Bill Gates Will Testify Today? --- Microsoft Chairman Could Boost Company's Case Or Scuttle a Settlement,609760,2002/4/22,Y,
533382,Health &amp; Technology: Intel and Dell Face Lawsuit Claiming Patent Violations,606508,2004/3/29,Y,
533383,"The Economy: Fannie Mae Warns Congress Not to Release Staff Pay Details; Making Information Public On Top 20 Officials Violates Law, Official's E-Mail Said",580495,2004/2/2,Y,
533384,Lawsuit Says Medtronic Gave Doctors Array of Perks,797560,2008/9/25,Y,
533385,"Saks, Lord &amp; Taylor Hit With Data Breach",239358,2018/4/2,Y,
533386,A Spy Scandal Sparked Probe And Turmoil at Southern Co.,353291,2023/6/29,Y,
533387,"Sun Microsystems Inc.: Kodak Lawsuit Involving Java Settled for License, $92 Million",706379,2004/10/8,Y,
533388,Apple Settles Keyboard Lawsuit,324724,2022/7/20,Y,
533389,Business News: Anthem Alleges Fentanyl Fraud,198079,2017/7/14,Y,
533390,Is Microsoft Everywhere? Check Out Your Portfolio --- Software Giant Has Presence In 36.8% of U.S. Funds; You and the Antitrust Suit,434306,2000/7/10,Y,
533391,Corporate News: Lilly Nears Settlement In U.S. Zyprexa Probe,833085,2008/10/22,Y,
533392,"Goldman, SEC Discuss Catch-All Settlement",861329,2010/7/15,Y,
533393,Corporate News: Lilly Probes Ex-Staffer's Allegations Of Bribery In China,31874,2013/8/23,Y,
533394,Justice Department Ends Antitrust Probe of eBay Without Taking Action,627554,2002/3/26,Y,
533395,Microsoft Drafts Settlement Bid In Antitrust Suit,497045,2001/9/10,Y,
533396,Microsoft Wins Approval of Pact In Antitrust Case,585871,2004/7/1,Y,
533397,"Executives on Trial: Enron Ex-Treasurer Ties Lay, Skilling to Charges; Witness Says Executives Approved Reserves Misuse, Hid Losses, Misled Investors",664373,2006/3/23,Y,
533398,Business News: Boeing Accepts Quality-Control Penalties --- Plane maker agrees to pay $12 million in first- of-its-kind settlement with federal regulators,161375,2015/12/23,Y,
533399,Corporate News: Google Discloses New Data Breach,851216,2010/9/15,Y,
533400,"Crisis on Wall Street: AIG's Tax Dispute With U.S. Has Twist of Irony --- In Battle Dating Before Big Bailout, Company Seeks IRS Refund for $329 Million in Back Payments, Penalties",814239,2008/11/14,Y,
533401,"OFF DUTY --- Reading &amp; Retreating -- Comfort Reads: Bonding Session --- Cold War intrigue, ruthless assassins and a spy in love -- what better way to slake your thirst for summer than with Ian Fleming's magnum of espionage kitsch? For the highest-yield diversion, start with the book, then stream the film",268209,2020/5/30,,
533402,Fraud Snares Hedge Fund; Och-Ziff Records Loss of $77 Million; Lehman Also Taken,752976,2008/4/18,Y,
533403,BofA Case Over Parmalat Starts --- Civil Lawsuit Involving Brazil Transaction Goes to Trial in Federal Court,778413,2009/9/15,Y,
533404,Goldman May Have Broken Rules On Bond-Trading Price Markups; NASD Cites Violations In 5 Distressed-Debt Deals; Treasury Prices Edge Up,562091,2004/2/25,Y,
533405,Business News: Google Rivals Take Heart From EU's Antitrust Ruling,192935,2017/6/29,Y,
533406,Judge in Microsoft Case Orders Mediator to Join Settlement Discussions,553250,2001/10/15,Y,
533407,Williams Cos.: Transco Admits to Violation; Leads to $7.6 Million Settlement,739304,2005/6/16,Y,
533408,Ford Settles Lawsuits Alleging Harassment And Bias at a Factory,384903,1998/2/2,Y,
533409,"Free Ride: With Help From INS, U.S. Meatpacker Taps Mexican Work Force --- Program to Prevent Hiring Of Illegal Aliens Allows IBP to Avoid Roadblocks --- A Rocky Start for 'Basic Pilot'",587633,1998/10/15,,
533410,Bribery Case Tied to IBM Unit Triggers U.S. Inquiry in Korea,621271,2004/1/6,Y,
533411,Leading the News: Boeing Is Punished in Rocket Case; U.S. Redirects $1 Billion In Contracts to Lockheed After Espionage Inquiry,548805,2003/7/25,Y,
533412,Judge Limits Witnesses In Microsoft Antitrust Case,391386,1998/6/10,Y,
533413,Labor Board Alleges Albertson's Violated Union Workers' Rights,396607,1998/10/5,Y,
533414,CBS Corp.: Stern Regains Control of Tapes Of His Show With a Settlement,725052,2006/5/30,Y,
533415,The Buzz: Morgan Stanley Is Hit With Suit Claiming Gender Discrimination,701922,2006/6/24,Y,
533416,Kroger Co. to Restate Results After Finding Improper Accounting,490996,2001/3/6,Y,
533417,"Target, Wal-Mart Fall as Indexes Rise; Rival Retailers Press Sector On a Disappointing Outlook And a Class-Action Lawsuit",625129,2004/6/23,Y,
533418,Energy Brief -- Kroger Co.: Dynegy to Receive $110 Million In Power-Contract Settlement,653873,2003/7/7,Y,
533419,WSJ.D Technology: U.S. Cautions EU Over Google Antitrust Probe,89319,2014/11/26,Y,
533420,Business Brief -- CHIQUITA BRANDS INTERNATIONAL INC.: Net Income Climbs 29% With Gannett Settlement,441419,1998/7/23,Y,
533421,"Corporate News: Airlines Seek Settlement --- AMR, US Airways Work Toward Plan to Resolve Case With Justice Department",16384,2013/10/31,Y,
533422,Wyeth Posts a Loss in Quarter Due to Diet-Drug Litigation,613162,2005/2/1,Y,
533423,"IBP Sues Two Former Executives Of DFG Foods, Alleging Fraud",633703,2001/8/23,Y,
533424,Sumitomo Sues J.P. Morgan and Unit Over Losses in Copper-Trading Scandal,442122,1999/8/11,Y,
533425,McDonald's to Give $10 Million to Settle Vegetarian Lawsuit,516332,2002/6/5,Y,
533426,"Michigan Seeks to Sue GM, Saying Program Violates Lemon Law",447341,2000/2/29,Y,
533427,EXCHANGE --- Business News: Apple to Appeal Epic Games Antitrust Verdict,306724,2021/10/9,Y,
533428,TJX Profit Falls 57% on Costs Tied to Data Breach,708229,2007/8/15,Y,
533429,Google Gets Ready for Legal Fight As U.S. Weighs an Antitrust Probe,254577,2019/6/3,Y,
533430,Goldman Enters Largest Penalty in Firm History,156321,2016/1/15,Y,
533431,Facebook Stored Users' Passwords Improperly,249302,2019/3/22,Y,
533432,HealthSouth Corp.: Scrushy's Lawyers to Restrict Comments Over Fraud Case,691185,2004/4/12,Y,
533433,"Delphi May Breach Loan Pacts, Warns of Possible Pension Risk",696812,2005/9/30,Y,
533434,HealthSouth Corp. May Settle Claims Of Medicare Fraud,596718,2004/12/23,Y,
533435,Now Microsoft Wants EU Hearing; Shift in the Antitrust Case May Be Bid to Strengthen Position in Future Appeal,523545,2003/9/30,Y,
533436,"Motorola and Nokia Allege Fraud, Sue Turkish Mobile-Phone Family",472247,2002/1/29,Y,
533437,Microsoft Assails EU Antitrust Plan In Counteroffensive,706521,2006/2/24,Y,
533438,Merck's Tactics Largely Vindicated As It Reaches Big Vioxx Settlement,810743,2007/11/10,Y,
533439,Business Brief -- Starbucks Corp.: Lawsuit Alleges Infringement Of Trademark by Chinese Chain,594067,2004/2/6,Y,
533440,"AIG Puts, Calls Trade Actively As a Settlement Is Announced",728458,2006/2/10,Y,
533441,Google's Too-Darn-Bad Scandal,185311,2017/3/29,Y,
533442,"The Government v. The Tech Giants --- Antitrust enforcers ask if Google, Facebook, Apple and Amazon use monopoly power to extend their dominance. The companies deny it.",256528,2019/9/10,Y,
533443,SEC Staff Weighing Civil Fraud Charges Against Bear Stearns in A.R. Baron Case,398976,1999/2/4,Y,
533444,Business News: Walmart to Pay $282 Million in Settlement of Bribery Probe,244124,2019/6/21,Y,
533445,EBay Says Amazon Staff Poached Sellers --- Lawsuit accuses three from e-commerce rival of breaking racketeer laws with alleged lure,252749,2019/8/2,Y,
533446,Leading the News: HealthSouth Corp. Is Focus of Probe About Kickbacks,608234,2004/1/29,Y,
533447,Paper Brief -- International Paper Co.: Year-Earlier Loss Is Reversed On an Income-Tax Settlement,757076,2005/10/26,,
533448,Coke Asks U.S. Court To Toss Out Lawsuit Filed by Rival Pepsi,432064,1998/5/29,Y,
533449,Walgreen Co.: Settlement on Cold-Drug Sales Includes $1.3 Million Payment,646923,2005/7/29,Y,
533450,Google Faces EU Fine in Antitrust Case,218706,2018/7/11,Y,
533451,Facebook's Lab-Leak About-Face,303500,2021/5/28,Y,
533452,"Google Acts Calm as Regulators Direct Spotlight --- Internet Company's Lawyers Fan Out to Defend Publishing Settlement, Play Down Scrutiny of Hiring Practices",838033,2009/6/11,Y,
533453,Aon Internal Probe Finds Violations Of Conduct Code,625782,2004/12/7,Y,
533454,Black Workers Group Alleges Discrimination In Suit Against Merck,419584,1999/1/29,Y,
533455,Media Brief -- Blockbuster Inc.: Court Dismisses Lawsuit Brought by Video Retailers,595628,2003/2/21,Y,
533456,EXCHANGE --- Antitrust Suit Over Google Search Is Narrowed by Judge,347324,2023/8/5,Y,
533457,"UBS Helped Set HealthSouth Moves --- Investment Bankers More Involved In Company Than First Thought, In Years Preceding Alleged Fraud",684435,2003/5/14,Y,
533458,Yahoo's Click-Fraud Settlement Gets Preliminary Court Approval,680287,2006/6/29,Y,
533459,EXCHANGE --- Fiat Seeks to Dismiss GM's Racketeering Lawsuit,288670,2020/1/25,Y,
533460,"Law Journal: Software Firms Fight Fraud --- State and Federal Officials Call on IBM, LexisNexis to Battle Tax-Refund Scams",44645,2013/7/22,,
533461,Global Finance: SEC Is Cleared in Goldman Lawsuit --- Internal Watchdog Says No Evidence of Political Motivation; Question of Timing,873453,2010/10/14,Y,
533462,Amazon Accused of Monopoly --- FTC suit says online retailer wielded its power illegally to harm competitors,363370,2023/9/27,Y,
533463,SEC Fines Arthur Andersen in Fraud Case --- Big 5 Firm to Pay $7 Million After Inquiry of Audits For Waste Management,639721,2001/6/20,Y,
533464,"Qualcomm's 5G Call Finally Connects --- Settlement with Huawei removes last major legal cloud, and Apple's iPhone will boost chip sales",273712,2020/8/12,Y,
533465,What Enron Means For Your Tax Return --- IRS Crackdown on Aggressive Tactics Turns To Individuals in Wake of Accounting Scandals,490075,2002/4/9,Y,
533466,Facebook Settlement Vindicates Consumer Privacy,243113,2019/7/25,Y,
533467,"The Row Ahead: Microsoft Judge Faces Demands of Market And of Monopoly Law --- Investors Deal a Swift Blow, As Stock Sinks; but Firm Has Plans Amid Appeals --- Citing `an Oppressive Thumb'",452491,2000/4/4,Y,
533468,Microsoft Verdict: The Day After --- Antitrust Enforcers in Europe Press Ahead With Their Inquiry,502287,2000/6/9,Y,
533469,"How Spitzer Pact Will Affect Wall Street --- Merrill Lynch Pledges Reforms Under $100 Million Settlement; No Full Research, Banking Split",553369,2002/5/22,Y,
533470,Microsoft Seeks a Ban On Public Attendance Of Antitrust Depositions,693280,2002/1/10,Y,
533471,Corporate News: Merck Agrees to $100 Million Settlement,72255,2014/2/8,Y,
533472,Google Loses Antitrust Trial Over App Store --- Jury decides for Epic Games in a blow to search giant's power over developers,368757,2023/12/12,Y,
533473,Defense Brief -- Lockheed Martin Corp.: Deal With Titan Could Collapse Due to Overseas Bribery Case,630534,2004/4/1,Y,
533474,Executives on Trial: Former Fleming Executives Charged With Securities Fraud,755057,2005/9/17,Y,
533475,Unisys Denies Coverup Of Security Breaches,756942,2007/9/25,Y,
533476,Duke Energy Corp.: Large Enron Claim Settlement Helps Offset Weak Operations,618872,2004/7/30,Y,
533477,"Microsoft Attacks Rivals in Antitrust Case --- Company Serves Subpoenas To Netscape, 4 Others, Possibly Delaying Trial",415225,1998/9/10,Y,
533478,Microsoft Witness Says Huge Profits Aren't Indicative of Monopoly Status,477318,1999/1/21,Y,
533479,"Washington Group Sues Raytheon, Alleges Fraud",518196,2001/3/9,Y,
533480,Qualcomm's Monopoly Imperils National Security,265393,2019/11/25,Y,
533481,"Microsoft Scores a Big Legal Victory --- But the Harsh `Findings of Fact' Stand, and a Lower Court Will Determine the Penalty",640530,2001/6/29,Y,
533482,Corporate News: GE Settles Civil-Fraud Charges --- Fine of $50 Million Resolves SEC Probe Into Firm's Accounting Practices,763489,2009/8/5,Y,
533483,Business Brief -- Coca-Cola Co.: Italian Court Rejects Appeal Of 1999 Antitrust Ruling,726054,2002/7/3,Y,
533484,Industrial Brief -- Honeywell International Inc.: Asbestos-Claims Settlement To Pay Company $472 Million,533546,2003/4/2,Y,
533485,"Safe Conduct: Microsoft's Behavior Is Helping Cisco Learn How to Avoid Trouble --- Lesson No. 1: Seek to Charm Antitrust Regulators, Don't Try to Bully Them --- There Isn't `a Secret Sauce'",490095,2000/6/1,Y,
533486,"Lesson Two: How to Call Off Your Own Antitrust Watchdog --- Mario Monti Won Respect Showing GE His Teeth, Now Bared at Europe",565042,2001/7/17,Y,
533487,"Analysis: Deutsche's Lehman Dilemma --- Ghost of the failed bank haunts German lender, but parallels are misleading",154809,2016/9/30,Y,
533488,SEC Files Civil Securities-Fraud Charges Against Ex-Lehman Broker Gruttadauria,551940,2002/2/22,Y,
533489,"Business Technology: Social Media and Bias in Hiring --- Facebook Searches Can Lead to Discrimination Against Some Candidates, Study Finds",64684,2013/11/21,Y,
533490,Sears Roebuck Says Exide Corp. Bribed Ex-Battery Buyer,459641,1999/12/1,Y,
533491,Volatility Eases as Stock Prices Rise on News Of Tentative U.S. Settlement With Microsoft,506715,2001/11/2,Y,
533492,Toyota Penalty Sends Signal to GM,75670,2014/3/20,Y,
533493,"Unlike Others, Dollar General Issues a Mea Culpa --- Amid Enron, Other Scandals, Discount Retailer Apologizes For Its Accounting Problems",506922,2002/1/17,Y,
533494,Wal-Mart Draws Grand Jury Focus; Presence of Illegal Workers With Cleaning Contractors Sparks the Federal Probe,607540,2003/11/5,Y,
533495,Corporate News: McKesson Agrees To Settlement In Pricing Suits,805370,2008/11/22,Y,
533496,Cendant Agrees in Its Settlement To Change Corporate Governance,419271,1999/12/8,Y,
533497,Business News: Amazon Is a Tempting Europe Tax Target --- Tax deals are under scrutiny by the EU to see if they constitute illegal 'state aid',184256,2016/11/9,Y,
533498,Pepsi Bottling Group Inc.: Profit Rises on Volume Growth And a Gain From a Settlement,767292,2005/9/28,Y,
533499,"States to Seek Tougher Curbs On Microsoft --- Objectors to U.S. Settlement To Offer New Proposal; Apple, Sun May Benefit",644638,2001/12/7,Y,
533500,"Sprint Agrees To Buy UbiquiTel, Ending Litigation",721047,2006/4/21,Y,
533501,Broadcom Corp.: Firm's Ex-Employee Reaches SEC Settlement,826993,2008/3/5,Y,
533502,Conseco Inc.: Settlement Is Set With SEC On Probe of Mobile-Home Unit,683596,2004/3/11,Y,
533503,Ex-Apple Lawyer Accused Of Insider Trading,232475,2019/2/14,Y,
533504,Coca-Cola Boycott Is Launched by Group In Bid to Force Settlement of Bias Suit,431482,2000/5/11,Y,
533505,Scrushy Is Convicted in Bribery Case; Prosecutors Savor Victory Over HealthSouth Ex-CEO After '05 Fraud Acquittal,655356,2006/6/30,Y,
533506,Technology Brief -- Corning Inc.: Asbestos-Claims Settlement Leads to First-Quarter Charge,612305,2003/3/31,Y,
533507,Pfizer Faces Lawsuit Over Alleged Risks Of Hypertension Drug,473958,2000/5/31,Y,
533508,Moving the Market: Lawsuit Against Aon Is Cleared For National Class-Action Status,693937,2004/7/30,Y,
533509,FedEx Faces Lawsuit Citing Religious Bias Against an Ex-Driver,442497,2000/3/20,Y,
533510,Banking &amp; Finance: Court Deals Setback to ETF Investors --- BlackRock turns back lawsuit claiming inadequate warnings in fund documents,204305,2017/9/25,Y,
533511,"EXCHANGE --- EU, U.K. Open New Facebook Probes --- Antitrust focus is data from ad-sales services",303957,2021/6/5,Y,
533512,Boss Talk: Piloting Boeing's New Course; CEO Jim McNerney Reshapes Aerospace Giant After Scandal; Tying Executive Pay to Ethics,715085,2006/6/13,Y,
533513,"Leading the News: Six Figures in Xerox Case Are Fined $22 Million --- In Settling Fraud Charges, SEC Punishes Ex-CEOs Allaire, Thoman, 4 Others",566691,2003/6/6,Y,
533514,Fraud Trial of Trader Goes to Jury --- At Issue Is Whether Ex-Employee at Jefferies Misrepresented Prices of Mortgage Bonds to Clients,71616,2014/3/6,Y,
533515,Google Sued by States for App Store Practices --- Latest legal challenge against search giant says it has monopoly over phone downloads,309749,2021/7/8,Y,
533516,Prudential Financial Inc.: Legal-Settlement Expenses Reduce First-Quarter Profit,664756,2006/5/4,Y,
533517,HealthSouth Corp.: Class-Action Lawsuit Is Settled Over Retirement-Fund Losses,682197,2005/8/1,Y,
533518,Antitrust Gone Wild Against Amgen,347608,2023/5/19,Y,
533519,Viacom Resumes Talks for Settlement --- CEO Dauman would exit as part of agreement with Redstone's National Amusements,173982,2016/8/17,Y,
533520,"The Mounting Minuses at Google+ --- Playing Catchup to Facebook, Google's Social Network Is a Virtual Ghost Town by Comparison",915154,2012/2/28,,
533521,"Corporate News: Behind EU's About-Face on Google --- Antitrust Deal, Which Would Allow Search Giant to Avoid Big Fines, Is Back on Drawing Board",78139,2014/9/11,Y,
533522,Xerox to Pay $10 Million in SEC Case --- Penalty Is Largest Levied Against Public Company In Accounting Matter,615374,2002/4/2,Y,
533523,Merck &amp; Co.: Firm Extends Deadline To Join Vioxx Settlement,779077,2008/3/26,Y,
533524,Dynegy Ex-Trader Is Indicted On Criminal-Fraud Charges,531412,2003/1/28,Y,
533525,Business Brief -- Compaq Computer Corp.: Suit Filed Against Two Firms On Charge of Illegal Brokering,494270,2001/8/9,Y,
533526,Cooper Cites Problem With Leaking Tires; Ford Recalls Pickups,674663,2006/2/14,Y,
533527,"Apple, Qualcomm End Legal Feud --- Settlement dismisses all litigation related to the companies' battle over patent royalties",242013,2019/4/17,Y,
533528,Health Brief -- Wyeth: Revised Settlement Agreement Gets Preliminary Approval,598788,2004/8/27,Y,
533529,Apple Makes Case With Appeals Court On Epic's Lawsuit,325985,2022/3/25,Y,
533530,Cigna-Humana Merger Is Likely to Face Antitrust Challenge,371607,2023/12/1,Y,
533531,Microsoft's Bid for an Extension Is Denied in EU Antitrust Case,736681,2003/10/10,Y,
533532,"Banking &amp; Finance: BofA Fined Over Foreclosure --- Bankruptcy judge calls treatment of couple 'brazen,' 'heartless'; penalty is $45 million",185468,2017/3/31,Y,
533533,Business News: Europe Presses Antitrust Action Against Broadcom,247030,2019/6/27,Y,
533534,"The New York Times on Leaks, Partisanship",663532,2006/5/2,,
533535,Bribe Case Focuses On Negotiator For Alcoa,834247,2010/4/6,Y,
533536,Health &amp; Technology: Humana Agrees to $14.5 Million Fine To Settle Allegations of Medicare Fraud,474354,2000/6/7,Y,
533537,Meeker Won't Face Securities-Law Charges --- Neither Morgan Stanley Analyst Nor Firm Will Be Cited for Fraud Under Stock-Research Settlement,620399,2003/4/2,Y,
533538,"Paper Chase: To Impress Colleges, Some Prep Schools Use Aggressive New Tactics --- With Competition Stiffer, Applications Are Adorned And Grading Eases Up --- A Counselor's Transgression",511654,2001/1/23,,
533539,Verizon Loses Patent Lawsuit Against Cox,837944,2008/10/7,Y,
533540,"Business News: Nvidia, Samsung Settle Patent Litigation",135127,2016/5/3,Y,
533541,Corporate News: Wal-Mart Discloses A Corruption Probe,912487,2011/12/9,Y,
533542,Cendant Starts Selling Real-Estate Spinoff as Air Leaks Out of Market,664292,2006/5/31,Y,
533543,Corporate News: Merck to Pay $950 Million Vioxx Settlement,915791,2011/11/23,Y,
533544,Gates Steps Aside as Microsoft's CEO; Ballmer to Take Over Daily Operations --- Tough Stance on Lawsuit And Focus on Software Seem Likely to Continue,633671,2000/1/14,,
533545,"Boss Talk: After the Storm at AIG; CEO Sullivan Guides Insurer Past Accounting Scandal; Income Rises, but Stock Lags",696502,2007/4/2,Y,
533546,HCA's Accusers May Challenge U.S. Settlement,518404,2002/12/19,Y,
533547,Bank of America Corp.: IRS 'Tentatively' Finds Moves Of 401(k) Assets in Violation,639469,2005/3/2,Y,
533548,Microsoft Settlement Won't Benefit Schools,481648,2001/11/28,Y,
533549,Fall of a Power Giant: Dynegy Hits Back at Enron With Lawsuit --- Claim Is That Failed Merger Entitles Concern to Get Northern Natural Gas,606774,2001/12/4,Y,
533550,"Faith and Hope: For Former HealthSouth Chief, An Appeal to Higher Authority; As Fraud Trial Nears an End, Scrushy Preaches in Church, Interviews Ministers on TV; Not Aimed at Jurors, He Says",671107,2005/5/13,Y,
533551,Business News: Senators Query Yahoo Over Breach,154514,2016/9/28,Y,
533552,Business News: Staples Antitrust Case to Test Firm's CEO --- Chief Ronald Sargent's push to take over rival Office Depot has been stalled by federal officials,146487,2016/3/21,Y,
533553,CSX Corp.: Fines Paid for Violating Railroad Safety Rules,812004,2008/1/4,Y,
533554,"The Buzz -- Bids &amp; Offers: Let's Call the Lawsuit Off: a Sarbanes-Oxley Story; In Labor Department Case, Money Manager Says TIAA, Plaintiff Says TIAA-CREF",732477,2005/9/24,Y,
