,Title,Date,id,
596326,"Automotive Brief -- Visteon Corp.: Lear's Stebbins Is Named President, Operating Chief",2005/5/19,1,
795732,"IPhone Calls On Software Developers; Apple's App Store Will Create a Marketplace for Anyone to Sell Downloadable Games, Tools",2008/7/10,1,
597961,Nordstrom Inc.: Net Rises 52% Amid Sales Gain; Quarterly Dividend Is Lifted,2005/5/18,1,
308463,Whirlpool's Production Remains Constrained,2021/1/28,1,
420159,Futures &amp; Options: Southern Comfort,2000/2/18,1,
480579,EU Drops One Of Its Inquiries Into Microsoft --- U.S. Giant Pledges To Limit Influence Over TV Companies,2001/4/19,1,
640212,Business Brief -- Airborne Inc.: Airborne Express to Offer Services Through OfficeMax,2001/12/13,1,
829807,Rockwell Automation Faces Declining Sales,2009/10/21,1,
107892,Don't Stress Over Bank Test Gap,2015/3/11,1,
464460,"United Grapples With Summer of Widespread Discontent --- Absent Workers, Volatile Weather Disrupt Flights, Stranding Thousands of Travelers",2000/8/8,1,
486418,"Small-Stock Focus: Innes Street, Tractor Supply Soar, As Small Stocks Outpace Nasdaq",2001/7/18,1,
292433,An Airbus-Boeing Tariff Truce,2021/3/9,1,
272400,"Business News: Halliburton Reports Slump, Targets Costs",2019/10/22,1,
791441,"WSJ(10/16)UPDATE:Abreast Of The Market: Biogen, Elan Gain Mon",2007/10/16,1,
198017,Want to Meet Mark Zuckerberg? He'll Be Here in Five Minutes --- Facebook's CEO hits the road to meet ordinary folks -- with a few conditions,2017/7/13,1,
117144,"Corporate News: Blackstone, TPG Ready $5.5 Billion Bid for Gates Global",2014/3/11,1,
674966,Telecommunications Brief -- Sprint Nextel Corp.: Accord Reached With Union Will Allow Spinoff to Proceed,2006/2/14,1,
681778,"Wonder Land: Golf as Antidote To Bonds, Enron And Abramoff",2006/6/23,1,
682054,Officials Fired At Dow Chemical For Secret Talks; Two Accused of Seeking Outside Buyout Deal; A Tip From J.P. Morgan,2007/4/13,1,
149957,GE Stock Tops $30 for First Time in 7 Years,2015/11/11,1,
897320,AIG Aircraft Unit Revs IPO Engine --- Leasing Firm Takes First Formal Step to Sell Shares; Cash Goes to Taxpayers,2011/9/3,1,
496311,"Autos to Drive Turkey's Export Push --- Ford Bets Big On Factory Hub, Ignoring Quakes",2000/7/24,1,
563037,Cendant Plans To Shut Down Trip.com Site,2003/4/2,1,
422346,"Professor and Microsoft Lawyer Clash Over Ties Between Windows, Browser",1999/6/11,1,
861158,Corporate News: Time Warner Cable Steps Up Ad War With Verizon FiOS,2010/7/14,1,
558325,Blackstone Group to Invest $200 Million In Sirius Radio for Stake of About 10%,1999/12/27,1,
321386,The Ukraine Crisis: Glaxo Will Curtail Selling Drugstore Staples in Russia,2022/4/7,1,
698626,American Mystery -- Immigrant's Path: From Tech Success To Terror Charges --- Mike Hawash Worked at Intel; The U.S. Says He Wanted To Join the Taliban --- An Unusual Trip to China,2003/4/29,1,
468837,Wal-Mart Fumes at Argentine Legislation --- Provincial Bills That Limit Size of Stores Threaten U.S. Retailer's Strategy,2000/11/28,1,
114518,Google Is Not Fixing Some Old Android Bugs,2015/1/14,1,
492355,Business Brief -- Alaska Air Group Inc.: Airline's Unit Revenue Is Put At a Decline of 6.6% for May,2001/6/15,1,
787623,McDonald's Winds Up for Iced-Coffee Pitch; Local Ballplayers Will Be Featured In Chicago Ads,2007/5/1,1,
873952,Nokia Calls Microsoft for Help,2011/2/12,1,
232854,EXCHANGE --- Google Takes Aim At Tech-Help Scams --- Company plans to roll out verification program,2018/9/1,1,
328448,Tying BlackRock's Hands Won't Accomplish Much,2022/6/17,1,
670755,J.C. Penney's Profit Jumps 22% On Sales of Private-Label Items,2006/5/12,1,
452315,Rite Aid Corp. Moves Toward Completion Of Firm's Debt Plan,2000/5/17,1,
601091,Vivendi Universal SA,2004/11/19,1,
165774,GM's Bet on Electric Cars Gets First Test,2016/11/15,1,
454589,Business Brief -- ONEOK INC.: Agreement Is Set to Buy Kinder Morgan Operations,2000/2/9,1,
657707,Citigroup Trims News Corp. Stake,2004/3/4,1,
807639,"At Citigroup, Crittenden Plans to Look for Levers",2007/3/6,1,
701489,"Gambro AB: DaVita Terminates Contract, Raising Questions on Buyout",2006/5/31,1,
883702,"Blue Chips Climb Higher, Adding 72 Points --- Up Nine of the Past 11 Days, Dow Rises to Level Last Seen in May 2008; Good Day for Boeing, P&amp;G, Sprint and Aetna",2011/4/29,1,
214511,"Toy Makers Are in a Hurry --- Hasbro, rivals develop new products quickly to profit from trends fueled by social media",2018/2/20,1,
186691,"OFF DUTY --- Eating & Drinking -- Game Changer: Drizzle with a Drawl --- A Southern staple, sorghum syrup brings nutty, complex sweetness to everything from biscuits to vinaigrettes",2017/4/15,1,
624537,IBM Sets Pact With Peregrine,2001/8/1,1,
524614,"Letters to the Editor: Au Contraire, Microsoft Was Victorious",2001/7/16,1,
811781,Earnings Digest -- Home Products: Masco Corp.,2008/2/13,1,
194815,U.S. News: Panel Backs Whirlpool in Trade Fight With Rivals,2017/10/6,1,
680668,Intel Offices in Europe Are Raided; Intel Offices in Europe Are Raided,2005/7/13,1,
146070,"Apple's Encryption Puzzle --- In beefing up security of iCloud, executives wrestle with balancing privacy, convenience",2016/3/16,1,
156128,High-Stakes Television For Disney's Sherwood,2016/1/14,1,
359413,"Arm Targets $52 Billion Valuation --- AMD, Apple, Intel, Nvidia plan to buy shares in largest new listing of year",2023/9/6,1,
471529,Tech Data Corp.,2000/7/26,1,
501077,Technology Brief -- MICROSOFT CORP.: Chase Manhattan Utilizes Parts of HomeAdvisor Site,1999/10/5,1,
727120,Motorola Inc.: Judge Lowers Damage Award Levied Against Turkish Family,2006/2/10,1,
786903,Amazon Invests in Payment Service,2007/12/12,1,
490865,Technology Brief -- Hewlett-Packard Co.: Officials Don't Get Bonuses Because of Failed Objectives,2002/1/30,1,
702996,Barron's Insight: Cable Stocks Are Haunted By Comcast's Shelved Bid,2004/5/9,1,
698364,Microsoft Corp.: New In-House Lawyer Picked To Handle EU Antitrust Case,2006/9/5,1,
893537,Microsoft Sets Rival to Google Apps,2011/6/28,1,
725729,The Buzz: Cendant Case Costs Ernst Almost $300 Million More,2008/2/16,1,
751008,FCC Reprimand of Comcast Looms,2008/8/1,1,
657131,Altria Group Inc.: Plan to Spin Off Kraft Unit Gets FTC Fast-Track Clearance,2007/2/8,1,
293003,Apple Regains Phone Top Spot As Huawei's Sales Collapse,2021/1/29,1,
33024,Apple's New Front In Battle for TV,2012/8/16,1,
483305,"Amgen Net Rises 15%, Topping Forecasts By a Penny, as 2001 Outlook Is Lowered",2001/4/27,1,
233588,Longtime Kroger CFO to Exit Post,2018/12/18,1,
716568,Politics &amp; Economics: FDA Approves Generic Versions Of Merck's Zocor,2006/6/24,1,
622555,"Cultural Evolution; At Maturing Microsoft Corp., Entrepreneurial Ethos Goes The Way of Stock Options",2003/7/10,1,
348241,Makers of Consumer Staples Stay Strong --- Demand proves resilient despite inflation,2023/5/1,1,
755084,Motorola Inc.: Icahn Declares Intention To Acquire More Shares,2007/3/1,1,
49021,Corporate News: SEC Warns Netflix CEO Hastings,2012/12/7,1,
712971,PepsiCo Chairman's Pay Package Is Detailed,2007/3/27,1,
509288,Chubb Might Need to Increase Reserves to Pay `D&amp;O' Claims,2002/11/21,1,
733458,Avnet Inc.: Agreement Is Reached to Buy Memec for $477.2 Million,2005/4/27,1,
508278,Citigroup Raises Dividend by 13%,2002/4/17,1,
49534,Netflix Growth Goes From Stream to Rapids,2013/4/23,1,
340719,"Disney Tax District Eases Way for More Parks, Space",2023/1/12,1,
702091,Advanced Micro Devices Inc.: 'Dual-Core' Chips to Speed Up With Three New Offerings,2005/9/26,1,
25667,How to Increase the Crime Rate Nationwide,2013/6/12,1,
39005,"World News: Google Fills In North Korea Map, From Subways to Gulags",2013/1/30,1,
585169,Business Brief -- United Rentals Inc.: Earnings Outlook Is Lowered As Key Business Sector Falters,2002/7/2,1,
481309,Business Brief -- Apache Medical Systems Inc.: Firm Is Hired to Study Sale; Loss Is Posted for 3rd Period,2000/11/2,1,
237667,"Altria, Juul Are in Talks Over Stake --- Struggling tobacco giant would buy a portion of dominant e-cigarette player",2018/11/29,1,
514623,Business Brief -- Biogen Inc.: Shares Fall on Profit Warning Due to Avonex Sales Shortfall,2002/6/10,1,
534225,Technology Brief -- Siebel Systems Inc.: Software-Development Pact With IBM Is to Be Expanded,2003/1/28,1,
135126,Baker Hughes Loses Halli-burden,2016/5/3,1,
381596,IBM Unveils Array Of New Products For Data Storage,1998/6/2,1,
553812,Can Hermeneutics And Quantum Theory Shape Your Reality?,2002/12/13,1,
715359,Earnings Digest -- Restaurants: Darden Restaurants Inc.,2007/6/20,1,
680314,Builders Brief -- Hovnanian Enterprises Inc.: Demand for Builders Appears To Be Slowing in Some Markets,2006/2/23,1,
148665,"IBM Is Protecting Clients, Not Giving Away the Store",2015/10/20,1,
24730,Investors Need Security on J.P. Morgan's New Mortgage Bonds,2013/3/21,1,
830737,"Large Stock Focus: Tiffany Rallies 11%; Dell, Intel Advance",2009/8/29,1,
911104,WEEKEND INVESTOR --- The New Basics: Crystal Ball,2012/1/14,1,
888777,How Big Names Are Betting --- Buffett's Berkshire Adds MasterCard Stake; Cohen's SAC Bulks Up in Retail,2011/5/17,1,
290470,U.S. News: Antitrust Chief Recused in Google Probe,2020/2/5,1,
544071,Merrill Lynch Directs Analysts To Look Deeper Than Pro Forma,2002/3/6,1,
805814,Earnings Digest -- Health: St. Jude Medical Inc.,2008/7/17,1,
746994,Corporate News: Verizon-Union Deal Averts Strike; Three-Year Pact Will Create Jobs; Ratification Awaits,2008/8/11,1,
44518,WEEKEND INVESTOR --- Crystal Ball,2013/7/20,1,
649581,Royal Bank of Canada: Firm's Portion of Enron Suit Is Settled for $49 Million,2005/7/29,1,
804752,"Corporate News: Geely Hopes to Boost Volvo Globally --- Car Maker Sees Potential In and Out of China; For Ford, Deal Ends Distraction",2010/3/29,1,
112547,Health &amp; Wellness -- In the Lab: Genes in the Cloud: Google Steps Into Autism Research,2014/6/10,1,
9173,"Insider Case Lands Big Catch --- Rajat Gupta, Ex-Goldman, P&amp;G Director, Found Guilty; Initial Holdout on Jury",2012/6/16,1,
818124,Crisis Management: Fed's Fireman on Wall Street Feels Some Heat; Debate Over Bear Stearns Rescue Puts Geithner in Spotlight; Bernanke's War Room,2008/5/30,1,
161375,Business News: Boeing Accepts Quality-Control Penalties --- Plane maker agrees to pay $12 million in first- of-its-kind settlement with federal regulators,2015/12/23,1,
593573,Goldman May Buy Part of Takefuji; Goldman May Buy Part of Takefuji,2004/11/2,1,
63754,"Tough Questions in Fire's Ashes --- Blaze in Bangladesh Reveals Troubles Wal-Mart, Others Face in Policing Factories",2012/11/30,1,
471018,Sun to Challenge Microsoft `Office' Suite --- Purchase of Software Maker Sets Up a Web Assault On Popular Applications,1999/8/31,1,
380578,Cars: U-Turn on Caddy Truck Detours GM Strategy,1998/3/26,1,
694118,"Adobe Systems Plans Stock Deal For Macromedia; Pact for $3.4 Billion to Create Software Giant, Set Stage For Possible Microsoft Battle",2005/4/18,1,
474953,Anadarko Finishes Union Pacific Deal For $5.68 Billion,2000/7/17,1,
829208,Corporate News: Biogen's MS Drug Slows; Icahn Renews Proxy Fight,2009/2/7,1,
874193,Corporate News: Google's Search Cleanup Has Big Effect,2011/2/28,1,
327255,"Arts in Review -- Television Review: When a Therapist Needs Therapy --- An unraveling, grieving therapist finds a mentor in this star-studded Apple TV+ comedy",2023/1/25,1,
751168,Google Pushes Tailored Phones To Win Lucrative Ad Market,2007/8/2,1,
510963,Business Brief -- Litton Industries Inc.: Merrill Lynch Is Retained For Electronics-Group Sale,2000/11/7,1,
868097,Once-Dead OneWest Buys Citi Loans,2010/11/12,1,
427658,"Business Brief -- CBS CORP.: SportsLine Pact Extended, Equity Stake Is Increased",1999/2/12,1,
623395,Business Brief -- Ford Motor Co.: Production of Thunderbird Is Expected to Restart Soon,2001/8/29,1,
447015,Citigroup Names Chief Of Corporate Strategy,2000/12/13,1,
728901,Verizon Will Pay to Run CBS Shows on New Service,2006/3/21,1,
395036,Business Brief: GM Dealers Are Concerned Strike Will Leave Them Without Cars,1998/6/26,1,
853132,Retiring Omnicare Chief Due Big Payout,2010/8/3,1,
619545,"Accredo and Human Genome Help Nasdaq Composite to Gain; AT&amp;T, 3M and Target Rise Amid Lack of Major Events, But Clorox, Vodafone Drop",2004/2/11,1,
505583,Microsoft Cracks Down On Sharing Windows Among Home Users,2001/7/5,1,
512844,Business Brief -- Applied Materials Inc.: Payrolls to Be Trimmed 11% Amid Continued Downturn,2002/11/5,1,
633030,"Visteon, American Axle Fall in Auto-Parts Sector",2005/4/28,1,
908628,Heard &amp; Scene -- Donor of the Day: Family Behind Hasbro to Fund NYU Pediatric Center,2011/10/1,1,
123256,Corporate News: Demand Lifts Jet Financing --- Boeing Projects Strong Appetite for Funding; Appeal of 747 Jumbo Jetliner Wanes,2014/12/10,1,
561277,Delco Buys Williams Technologies,1998/11/16,1,
748046,"Corporate News: Hummer Bidder to Begin Talks With China --- Radio Report Says Deal for GM Division Is in Trouble, but GM Executive Calls It 'Not True'",2009/6/27,1,
787341,"Corporate News: General Mills Earnings Climb 49% --- Lower Commodity Costs, Higher Prices and Hedging Strategy Yield Benefits",2009/12/18,1,
276898,"Business News: GM to Hire 3,000 New Tech Workers",2020/11/10,1,
291697,City Seeks To Gauge Learning Loss Gap,2020/12/11,1,
513330,Monsanto Biotech Seeds Blocked by Brazil Court,2000/8/9,1,
902237,WEEKEND INVESTOR --- The New Basics: What Is Facebook Worth?,2012/1/28,1,
739174,Executives on Trial: Enron Prosecutor Presses Jury For Convictions on All Counts,2006/5/16,1,
297337,Business News: MetLife to Buy Big Vision Insurer,2020/9/18,1,
56940,Big Data (A Special Report) --- A Guide to Facebook's Privacy Options,2013/3/11,1,
722649,"Morgan Stanley's Gaffes; Bad Trades, Woes In Managing Risk Mar Latest Results",2008/6/19,1,
61206,"Apple Brings Out Two New iPhones --- Company Continues to Fight Rivals in Smartphone Market; The 5C, in Five Colors, Is Priced at $99",2013/9/11,1,
72828,City News: Snow Storm Shakes Apple's Core,2014/1/23,1,
443487,AOL &amp; Time Warner Inc.: ...And the Triumph of Broadband,2000/1/11,1,
698857,SBC Adjusts Web-Service Prices On Various Levels of Delivery,2005/11/1,1,
194029,"MANSION --- Relative Value: For Sale: A Glimpse of 'Christina's World' --- Three properties for sale in Cushing, Maine, where painter Andrew Wyeth spent his summers",2017/7/7,1,
333212,"McDonald's Takeout, 1963",2023/2/7,1,
858404,BofA Breakup Is New Snag In CEO Hunt,2009/12/2,1,
272449,Boeing's MAX Timetable Suffers Blow --- EU regulators to wait longer to clear the troubled plane's return to service,2019/10/22,1,
540507,Aetna Settles Suit By Dentists Group Over Its Billing Practices,2003/8/20,1,
680106,"Business Brief -- Marathon Oil Corp.: Earnings Soared in 4th Period, Boosted by Gain on Asset Sale",2004/1/28,1,
480339,"Alcoa, Caterpillar, Deere Increase As Blue Chips Stage a Recovery",2000/2/15,1,
218801,Facebook Grants Researchers Data Access for Election Study,2018/7/12,1,
150844,What Apple Doesn't Want To Know About You,2015/9/16,1,
514129,IBM Results Help Boost Tech Stocks --- Nasdaq Climbs 3.2%; Index Has Gained 12% For the Year So Far,2001/1/19,1,
449041,"Business Brief -- AVECOR CARDIOVASCULAR INC.: Unsolicited Bid Is Made, Rivaling Medtronic Accord",1998/11/25,1,
136476,Why GE's Diet Should Carry More Weight,2015/9/28,1,
372515,Mead Corp.,1998/2/27,1,
348460,"Starbucks Benefits From Higher Prices, Efficiencies",2023/5/3,1,
22232,Corporate News: Boeing to Speed Jet Output --- Plane Maker Tries to Work Through $345 Billion Backlog; Defense Unit Lags,2013/10/24,1,
305168,Universal Isn't Only Payoff From Vivendi --- Spinoff isn't just one way investors can profit,2021/6/22,1,
868794,City News: Google for Schools,2010/10/6,1,
496541,Intel Aims for Position in Cellphone Market,2003/2/13,1,
714535,Earnings Cheat Cheet / Reporting Tomorrow: General Motors,2008/2/11,1,
805239,Corporate News: GM Teams With Dozens of Utilities on Plug-In Cars; Collaboration Seeks To Smooth the Path For Electric Vehicles,2008/7/22,1,
793154,"Health Insurers Target The Individual Market; Aetna, WellPoint, Others Roll Out Policies That Cater to People Who Lack Employer Coverage; Stripping Out Maternity Care",2007/8/21,1,
641399,New Recruit: Bush Taps Paulson as Treasury Chief; Goldman CEO Is Promised More Power Than Snow; Banker With Green Bent; A Big Test With the Dollar,2006/5/31,1,
151053,Business News: Intel Buys Into Auto Technology --- Chip maker gets stake in digital-mapping venture backed by German car makers,2017/1/4,1,
242997,Business News: True Value Invests in Software to Speed Up Its Hardware,2019/7/17,1,
666030,CBS's Long-Term Growth Is a Question,2007/2/28,1,
649130,Court's Rebuke May Push Microsoft Toward U.S. Deal,2001/8/20,1,
491159,"Fox News Is Climbing, but the Terrain Is Getting Tougher --- Closing the Gap With CNN Will Require Carriage in Hard-to-Crack Smaller Markets",2001/12/3,1,
669498,Weyerhaeuser Streamlines Units to Boost Agility,2006/4/20,1,
401236,Business Brief -- FLORSHEIM GROUP INC.: Bear Stearns Is Retained To Explore Strategic Moves,1999/2/19,1,
608149,Business Brief -- Mylan Laboratories Inc.: Fourth-Quarter Net Rose 9.7% Despite Drug Exclusivity Loss,2003/5/9,1,
886470,The Generation Gap and Tax Refunds,2011/4/23,1,
698226,Behind CA's Woes: Holes in Internal Controls; Pay Scale Meant to Motivate Led to Double Commissions And New Turmoil for Firm,2006/6/8,1,
715733,Boston Scientific Is Undoing Merger With Advanced Bionics,2007/8/10,1,
570962,Nicor and Dynegy to Build Plant,1999/1/11,1,
196633,"Paulson Confronts Goldman Fallout --- Goldman Profits Soar 91% in Period To $3.46 Billion --- Net jumps 91% on strong trading and bond underwriting; Blankfein thanks clients, shareholders for support",2010/4/21,1,
349951,"EXCHANGE --- Streaming Services Want to Pair Up --- In a crowded marketplace, Amazon, HBO Max and others are reviving a tactic from the days when cable TV was king: the dreaded bundle. This time, you may actually want to buy it.",2022/10/8,1,
557947,Business Brief: Safeway Inc.,2003/6/11,1,
670708,"Funeral Industry Is Hit With Casket-Pricing Suit; Consumers Claim Chains Thwart Use of Cheaper Coffins From Costco, Internet Retailers",2005/5/4,1,
152949,"WSJ.D Technology: Microsoft Bolsters Cybersecurity --- Aiming to speed up response to threats, company centralizes defensive operations",2016/2/29,1,
143097,Amazon Curtails R&amp;D On Consumer Devices,2015/8/27,1,
19094,J.P. Morgan Unit Shifts Operations,2012/6/25,1,
478186,Delta Air's Jenson Says He Is Leaving To Become Amazon.com's Finance Chief,1999/9/8,1,
77733,"Cisco Systems to Cut 6,000 Workers",2014/8/14,1,
661105,DuPont to Close Sites in Europe; Outlook Is Raised,2006/3/16,1,
82859,Global Finance: KeyCorp's Shares Tank After Results,2014/10/16,1,
572403,"Buying Preceded HealthSouth's Woes --- Insiders' Stock Purchases, Thought to Be Bullish, Could Be Just Posturing",2003/3/26,1,Y
68168,GE to Spin Off Retail Lending,2013/11/16,1,
163608,Business News: Biogen MS Drug Fails Study Goals; Shares Drop 13%,2016/6/8,1,
501601,The Benefactors: Brushes With Death Turn the Very Wealthy Into Medical Medicis --- But Bankrolling Research Isn't Enough; They Also Want a Voice in the Lab --- Huntsman's Cancer Fight,1998/1/6,1,
468485,Rite Aid to Settle Lawsuit and Lift Ban on Brokers,2000/6/19,1,
556838,Health Care Brief -- HCA Inc.: Hospital Chain's Net Fell 31% In Second Quarter on Charges; Dow Jones Newswires,2003/7/23,1,
561006,UPS Plans Small Rate Increases; Price Raises for Deliveries Are Slimmer Than Usual As Competition Heightens,2003/11/21,1,
320171,Amazon Turnover Holds Up Union --- Steady pace of worker departures means lots of new hires will vote at Alabama warehouse,2021/12/30,1,
581758,Technology Brief -- Sprint Corp.: Bankruptcy Filing Is Made By Horizon PCS Inc. Affiliate,2003/8/18,1,
918622,Corporate News: GE Makes Big Bet on Software Development,2011/11/17,1,
616673,Leading the News: U.S. Carriers Seek to Revamp Operations --- Bankruptcy Filing by UAL Is Expected Today; Financing Package Set to Keep Planes Flying,2002/12/9,1,
731739,Google Philanthropy Director To Take On Disease Outbreaks; Dr. Brilliant Starts Project Promoting Early Detection Of Global Health Crises,2006/2/27,1,
524561,"New President of Coca-Cola Ventures, Heyer, Plans to Expand Product Offerings",2001/3/8,1,
472831,"McAfee, Microsoft Enter Partnership Of Software Sales",2001/5/23,1,
897184,"At Cisco, Results Show Progress",2011/8/11,1,
547264,Cendant Says Profit to Be Hurt By Mortgage Area,2002/9/26,1,
601000,"Spilling Over: Top Banks Come Under Scrutiny For Role in Parmalat Scandal; Italian Dairy Giant Claims Bank of America, Others Aided Financial Cover-Up; An Entity Called 'Black Hole'",2004/9/28,1,Y
291744,EXCHANGE --- Heard on the Street: It May Be Years Until the Chips Are Down at Apple,2020/12/12,1,
835334,Exxon to Pay $6.1 Million Fine Over Spill,2008/12/24,1,
